date,indicator,value,entity
2020-07-04,Weekly new ICU admissions,24.0,Israel
2020-07-04,Weekly new hospital admissions,408.0,Israel
2020-07-05,Daily hospital occupancy,432,Israel
2020-07-05,Weekly new ICU admissions,27.0,Israel
2020-07-05,Weekly new hospital admissions,442.0,Israel
2020-07-06,Daily hospital occupancy,460,Israel
2020-07-06,Weekly new ICU admissions,29.0,Israel
2020-07-06,Weekly new hospital admissions,477.0,Israel
2020-07-07,Daily hospital occupancy,480,Israel
2020-07-07,Weekly new ICU admissions,30.0,Israel
2020-07-07,Weekly new hospital admissions,529.0,Israel
2020-07-08,Daily hospital occupancy,504,Israel
2020-07-08,Weekly new ICU admissions,32.0,Israel
2020-07-08,Weekly new hospital admissions,538.0,Israel
2020-07-09,Daily hospital occupancy,560,Israel
2020-07-09,Weekly new ICU admissions,31.0,Israel
2020-07-09,Weekly new hospital admissions,594.0,Israel
2020-07-10,Daily hospital occupancy,570,Israel
2020-07-10,Weekly new ICU admissions,29.0,Israel
2020-07-10,Weekly new hospital admissions,625.0,Israel
2020-07-11,Daily hospital occupancy,575,Israel
2020-07-11,Weekly new ICU admissions,28.0,Israel
2020-07-11,Weekly new hospital admissions,655.0,Israel
2020-07-12,Daily hospital occupancy,651,Israel
2020-07-12,Weekly new ICU admissions,25.0,Israel
2020-07-12,Weekly new hospital admissions,698.0,Israel
2020-07-13,Daily hospital occupancy,664,Israel
2020-07-13,Weekly new ICU admissions,32.0,Israel
2020-07-13,Weekly new hospital admissions,737.0,Israel
2020-07-14,Daily hospital occupancy,655,Israel
2020-07-14,Weekly new ICU admissions,34.0,Israel
2020-07-14,Weekly new hospital admissions,741.0,Israel
2020-07-15,Daily hospital occupancy,692,Israel
2020-07-15,Weekly new ICU admissions,35.0,Israel
2020-07-15,Weekly new hospital admissions,759.0,Israel
2020-07-16,Daily hospital occupancy,705,Israel
2020-07-16,Weekly new ICU admissions,37.0,Israel
2020-07-16,Weekly new hospital admissions,775.0,Israel
2020-07-17,Daily hospital occupancy,721,Israel
2020-07-17,Weekly new ICU admissions,39.0,Israel
2020-07-17,Weekly new hospital admissions,827.0,Israel
2020-07-18,Daily hospital occupancy,723,Israel
2020-07-18,Weekly new ICU admissions,34.0,Israel
2020-07-18,Weekly new hospital admissions,836.0,Israel
2020-07-19,Daily hospital occupancy,840,Israel
2020-07-19,Weekly new ICU admissions,47.0,Israel
2020-07-19,Weekly new hospital admissions,868.0,Israel
2020-07-20,Daily hospital occupancy,843,Israel
2020-07-20,Weekly new ICU admissions,48.0,Israel
2020-07-20,Weekly new hospital admissions,893.0,Israel
2020-07-21,Daily hospital occupancy,822,Israel
2020-07-21,Weekly new ICU admissions,52.0,Israel
2020-07-21,Weekly new hospital admissions,913.0,Israel
2020-07-22,Daily hospital occupancy,815,Israel
2020-07-22,Weekly new ICU admissions,54.0,Israel
2020-07-22,Weekly new hospital admissions,940.0,Israel
2020-07-23,Daily hospital occupancy,843,Israel
2020-07-23,Weekly new ICU admissions,55.0,Israel
2020-07-23,Weekly new hospital admissions,931.0,Israel
2020-07-24,Daily hospital occupancy,828,Israel
2020-07-24,Weekly new ICU admissions,58.0,Israel
2020-07-24,Weekly new hospital admissions,896.0,Israel
2020-07-25,Daily hospital occupancy,830,Israel
2020-07-25,Weekly new ICU admissions,71.0,Israel
2020-07-25,Weekly new hospital admissions,886.0,Israel
2020-07-26,Daily hospital occupancy,907,Israel
2020-07-26,Weekly new ICU admissions,66.0,Israel
2020-07-26,Weekly new hospital admissions,855.0,Israel
2020-07-27,Daily hospital occupancy,928,Israel
2020-07-27,Weekly new ICU admissions,63.0,Israel
2020-07-27,Weekly new hospital admissions,850.0,Israel
2020-07-28,Daily hospital occupancy,917,Israel
2020-07-28,Weekly new ICU admissions,62.0,Israel
2020-07-28,Weekly new hospital admissions,847.0,Israel
2020-07-29,Daily hospital occupancy,916,Israel
2020-07-29,Weekly new ICU admissions,63.0,Israel
2020-07-29,Weekly new hospital admissions,834.0,Israel
2020-07-30,Daily hospital occupancy,885,Israel
2020-07-30,Weekly new ICU admissions,68.0,Israel
2020-07-30,Weekly new hospital admissions,801.0,Israel
2020-07-31,Daily hospital occupancy,882,Israel
2020-07-31,Weekly new ICU admissions,66.0,Israel
2020-07-31,Weekly new hospital admissions,815.0,Israel
2020-08-01,Daily hospital occupancy,888,Israel
2020-08-01,Weekly new ICU admissions,62.0,Israel
2020-08-01,Weekly new hospital admissions,832.0,Israel
2020-08-02,Daily hospital occupancy,962,Israel
2020-08-02,Weekly new ICU admissions,59.0,Israel
2020-08-02,Weekly new hospital admissions,847.0,Israel
2020-08-03,Daily hospital occupancy,953,Israel
2020-08-03,Weekly new ICU admissions,60.0,Israel
2020-08-03,Weekly new hospital admissions,817.0,Israel
2020-08-04,Daily hospital occupancy,913,Israel
2020-08-04,Weekly new ICU admissions,57.0,Israel
2020-08-04,Weekly new hospital admissions,803.0,Israel
2020-08-05,Daily hospital occupancy,919,Israel
2020-08-05,Weekly new ICU admissions,60.0,Israel
2020-08-05,Weekly new hospital admissions,821.0,Israel
2020-08-06,Daily hospital occupancy,911,Israel
2020-08-06,Weekly new ICU admissions,54.0,Israel
2020-08-06,Weekly new hospital admissions,838.0,Israel
2020-08-07,Daily hospital occupancy,906,Israel
2020-08-07,Weekly new ICU admissions,59.0,Israel
2020-08-07,Weekly new hospital admissions,840.0,Israel
2020-08-08,Daily hospital occupancy,922,Israel
2020-08-08,Weekly new ICU admissions,54.0,Israel
2020-08-08,Weekly new hospital admissions,832.0,Israel
2020-08-09,Daily hospital occupancy,1018,Israel
2020-08-09,Weekly new ICU admissions,59.0,Israel
2020-08-09,Weekly new hospital admissions,838.0,Israel
2020-08-10,Daily hospital occupancy,960,Israel
2020-08-10,Weekly new ICU admissions,57.0,Israel
2020-08-10,Weekly new hospital admissions,832.0,Israel
2020-08-11,Daily hospital occupancy,930,Israel
2020-08-11,Weekly new ICU admissions,57.0,Israel
2020-08-11,Weekly new hospital admissions,825.0,Israel
2020-08-12,Daily hospital occupancy,904,Israel
2020-08-12,Weekly new ICU admissions,51.0,Israel
2020-08-12,Weekly new hospital admissions,794.0,Israel
2020-08-13,Daily hospital occupancy,912,Israel
2020-08-13,Weekly new ICU admissions,55.0,Israel
2020-08-13,Weekly new hospital admissions,826.0,Israel
2020-08-14,Daily hospital occupancy,908,Israel
2020-08-14,Weekly new ICU admissions,50.0,Israel
2020-08-14,Weekly new hospital admissions,823.0,Israel
2020-08-15,Daily hospital occupancy,936,Israel
2020-08-15,Weekly new ICU admissions,55.0,Israel
2020-08-15,Weekly new hospital admissions,843.0,Israel
2020-08-16,Daily hospital occupancy,1013,Israel
2020-08-16,Weekly new ICU admissions,52.0,Israel
2020-08-16,Weekly new hospital admissions,833.0,Israel
2020-08-17,Daily hospital occupancy,964,Israel
2020-08-17,Weekly new ICU admissions,51.0,Israel
2020-08-17,Weekly new hospital admissions,835.0,Israel
2020-08-18,Daily hospital occupancy,978,Israel
2020-08-18,Weekly new ICU admissions,56.0,Israel
2020-08-18,Weekly new hospital admissions,873.0,Israel
2020-08-19,Daily hospital occupancy,951,Israel
2020-08-19,Weekly new ICU admissions,54.0,Israel
2020-08-19,Weekly new hospital admissions,875.0,Israel
2020-08-20,Daily hospital occupancy,947,Israel
2020-08-20,Weekly new ICU admissions,51.0,Israel
2020-08-20,Weekly new hospital admissions,847.0,Israel
2020-08-21,Daily hospital occupancy,947,Israel
2020-08-21,Weekly new ICU admissions,56.0,Israel
2020-08-21,Weekly new hospital admissions,859.0,Israel
2020-08-22,Daily hospital occupancy,952,Israel
2020-08-22,Weekly new ICU admissions,56.0,Israel
2020-08-22,Weekly new hospital admissions,838.0,Israel
2020-08-23,Daily hospital occupancy,1042,Israel
2020-08-23,Weekly new ICU admissions,57.0,Israel
2020-08-23,Weekly new hospital admissions,834.0,Israel
2020-08-24,Daily hospital occupancy,1047,Israel
2020-08-24,Weekly new ICU admissions,64.0,Israel
2020-08-24,Weekly new hospital admissions,857.0,Israel
2020-08-25,Daily hospital occupancy,1023,Israel
2020-08-25,Weekly new ICU admissions,62.0,Israel
2020-08-25,Weekly new hospital admissions,832.0,Israel
2020-08-26,Daily hospital occupancy,1038,Israel
2020-08-26,Weekly new ICU admissions,67.0,Israel
2020-08-26,Weekly new hospital admissions,885.0,Israel
2020-08-27,Daily hospital occupancy,1035,Israel
2020-08-27,Weekly new ICU admissions,64.0,Israel
2020-08-27,Weekly new hospital admissions,907.0,Israel
2020-08-28,Daily hospital occupancy,999,Israel
2020-08-28,Weekly new ICU admissions,60.0,Israel
2020-08-28,Weekly new hospital admissions,884.0,Israel
2020-08-29,Daily hospital occupancy,984,Israel
2020-08-29,Weekly new ICU admissions,57.0,Israel
2020-08-29,Weekly new hospital admissions,885.0,Israel
2020-08-30,Daily hospital occupancy,1105,Israel
2020-08-30,Weekly new ICU admissions,55.0,Israel
2020-08-30,Weekly new hospital admissions,923.0,Israel
2020-08-31,Daily hospital occupancy,1118,Israel
2020-08-31,Weekly new ICU admissions,49.0,Israel
2020-08-31,Weekly new hospital admissions,950.0,Israel
